# 3D points
# X Y Z R G B
0.200202 -2.448010 4.758001 11 6 8
6.678648 -3.621925 4.861026 203 192 173
-0.000081 -2.496763 4.751751 55 44 39
-17.945757 -2.268363 13.335380 193 184 180
-1.084937 -3.905387 4.707122 253 232 221
6.516635 -3.525271 4.870959 198 201 191
-5.779611 -3.212946 4.998017 51 44 42
5.003887 -2.889041 4.797285 255 223 191
-0.119301 -1.877030 5.187830 0 9 20
-5.899572 -3.114499 5.282195 217 201 197
-2.212883 -2.549132 4.636271 13 11 19
-2.202090 -2.976926 4.647151 6 5 8
-0.386880 -1.683584 5.680143 146 153 146
-10.385646 5.531598 25.696426 182 162 174
-10.385646 5.531598 25.696426 182 162 174
1.957594 -7.597445 17.216497 0 9 20
-35.534565 -27.897057 34.194038 182 173 165
-11.612747 -3.167268 7.763653 12 13 5
-2.618689 -1.494835 3.694979 15 11 1
6.646807 -2.637577 4.890644 195 218 225
4.810758 -2.893171 4.795275 102 66 17
-5.922071 -4.669158 5.079237 31 30 35
-1.952647 -2.307383 4.646047 28 41 42
19.774815 -3.202873 6.191961 167 178 179
-2.351802 -2.715174 5.368452 37 35 36
17.275867 -5.406589 5.739736 13 18 17
17.064960 -5.427360 5.687549 176 175 192
16.996357 -5.418116 5.682563 176 176 186
16.996357 -5.418116 5.682563 176 176 186
19.851875 -3.067943 6.136616 18 32 42
19.851875 -3.067943 6.136616 18 32 42
16.965349 -5.404981 5.678100 183 182 187
16.965349 -5.404981 5.678100 183 182 187
19.193663 1.039868 7.089583 11 11 21
19.149576 1.066121 7.083095 174 165 178
19.304295 -7.037438 6.013268 45 40 28
19.704603 -6.470194 6.019101 70 79 90
-6.070753 0.810336 6.922560 158 160 157
-0.958399 -1.929033 6.418243 228 240 233
-0.935897 -1.879734 6.413336 206 217 206
5.881445 0.225424 0.256609 156 167 168
17.254688 0.736787 6.744398 205 212 210
13.187262 -2.324717 5.182155 132 142 148
-2.744813 -3.390840 5.525776 45 46 51
5.926678 -0.186342 0.322881 130 139 141
-2.787919 -4.532329 5.596376 39 16 1
13.094604 1.180740 6.179204 150 182 162
12.980289 1.187368 6.173589 163 193 176
12.696028 0.578216 6.086389 8 11 0
12.649282 0.540611 6.077352 224 222 202
11.573517 -2.713948 4.851875 36 45 45
-3.982664 0.459600 5.753986 178 183 189
-1.653779 0.524439 5.190856 217 221 234
-1.653779 0.524439 5.190856 217 221 234
-3.964324 -3.790874 5.928415 203 203 203
11.235034 -4.299909 4.923892 0 3 6
-4.444618 0.055451 6.400575 144 145 135
-1.444074 0.407682 5.077514 209 215 234
-1.568302 0.550249 5.160233 0 13 29
11.844924 0.555874 5.966029 216 216 200
11.844924 0.555874 5.966029 216 216 200
11.051585 -2.691681 4.946192 130 139 141
11.020074 -1.226085 4.844085 0 5 6
0.429851 -2.389456 4.652641 0 0 6
0.231584 0.457760 4.697063 5 9 24
10.921476 -1.536047 4.921411 154 160 161
10.831747 -2.958683 4.922555 172 183 182
11.493723 0.472687 5.941193 18 21 0
11.493723 0.472687 5.941193 18 21 0
-0.847932 -3.035788 4.848098 25 12 7
-1.179918 -3.599597 5.128472 67 57 61
-1.179918 -3.599597 5.128472 67 57 61
-3.101652 -3.534064 5.642923 10 8 9
2.096837 0.961832 6.051975 150 150 147
2.096837 0.961832 6.051975 150 150 147
2.740318 1.030254 5.207588 213 218 196
10.571753 -1.519077 4.913469 138 143 149
11.130839 0.492133 5.894193 26 29 9
10.408056 -3.120120 4.867997 222 234 227
10.442604 -1.798267 4.885591 136 148 154
10.442604 -1.798267 4.885591 136 148 154
-3.664040 -2.450558 5.745132 0 0 0
-3.664040 -2.450558 5.745132 0 0 0
-7.408688 -5.790067 10.904296 202 190 180
-3.672206 -3.083271 5.786918 1 0 5
-7.596511 -4.356198 8.260411 196 202 205
9.927980 -1.108349 4.697063 242 236 229
-1.107054 0.535067 5.028955 21 24 35
4.889621 -2.927798 4.390584 251 242 213
4.953856 -2.827516 4.384252 244 216 187
4.977694 -2.775450 4.381106 95 57 20
4.977694 -2.775450 4.381106 95 57 20
8.870790 0.489978 5.648190 232 242 218
5.044922 -2.813613 4.386289 91 45 6
8.547750 0.391403 4.571295 37 40 20
-0.000445 -2.508690 4.753867 43 31 33
8.348969 0.442047 4.208616 233 237 220
-0.808924 0.593173 4.975806 12 22 26
7.466729 -3.620711 4.612595 127 73 35
-0.641921 0.420811 4.901160 20 20 30
-0.620290 0.448656 4.908171 26 29 36
6.609467 -2.610680 4.540406 218 228 222
6.720630 -2.488267 4.523479 195 212 214
6.720630 -2.488267 4.523479 195 212 214
4.324694 -1.303066 2.876485 22 29 41
19.350267 -3.798020 6.059058 34 45 56
18.719322 -2.937221 6.011989 145 155 159
-3.441054 -2.913575 5.705396 47 62 67
6.957281 -2.701702 4.565147 8 18 24
19.693895 -3.238508 6.175723 153 164 163
-2.825214 -0.892130 6.617752 134 118 103
7.157018 -1.788732 4.597414 142 157 160
19.693895 -3.238508 6.175723 153 164 163
-2.995196 -0.703377 6.696433 144 134 124
7.449461 -4.288776 5.489761 115 63 13
17.267729 -5.348854 5.737813 1 0 3
17.267729 -5.348854 5.737813 1 0 3
8.092144 -4.052848 4.657138 110 80 34
8.586079 -1.379093 4.708308 135 145 151
-1.022718 0.637404 5.021752 53 57 59
-2.048288 -0.544202 6.321335 155 142 135
4.854908 -2.976145 4.401305 140 103 63
10.773892 -5.050316 6.979251 15 25 33
-1.005417 -3.368458 5.057631 37 30 33
-0.932366 -1.910389 6.418439 20 30 22
9.975278 -3.741095 4.441888 7 12 18
-0.978431 -2.816041 5.004666 57 49 57
0.223942 -1.409114 4.672496 0 10 25
0.223942 -1.409114 4.672496 0 10 25
-18.236938 -9.576687 16.440210 47 43 37
3.541591 -2.025393 4.519080 24 32 41
5.723884 0.069213 -0.170503 0 0 9
13.261731 -4.310933 4.765913 16 16 24
9.970953 0.456562 3.364556 235 233 211
10.647225 -2.567501 4.916553 125 134 134
10.647225 -2.567501 4.916553 125 134 134
11.388966 0.503614 5.922073 230 235 213
11.388966 0.503614 5.922073 230 235 213
-0.226443 0.608108 5.035686 0 6 12
13.602702 -2.298889 5.139828 0 0 8
34.898422 -23.728580 29.197840 35 40 46
34.898422 -23.728580 29.197840 35 40 46
4.324694 -1.303066 2.876485 22 29 41
-1.809170 -3.682878 5.286295 47 35 37
2.367307 0.700398 5.179631 116 124 114
-1.809170 -3.682878 5.286295 47 35 37
10.913935 -3.739091 4.888760 0 7 17
13.311223 -2.337019 5.199798 135 143 150
15.524454 -2.510867 7.668611 161 170 172
5.935470 1.297294 0.722519 0 0 9
10.992467 -3.553978 4.866673 178 199 208
-1.777021 -3.687413 5.278382 22 10 12
11.141180 -3.739724 4.899608 196 210 220
-3.948585 -3.686478 5.920894 13 16 23
2.550165 -2.836241 4.564704 249 232 224
2.524788 -2.836849 4.559973 63 49 35
11.607725 -2.175642 5.008292 162 168 169
11.770537 -3.382242 5.056250 156 169 170
11.783429 7.590376 3.992921 17 15 16
11.834297 -3.380487 5.043817 160 173 174
13.007215 1.209988 6.169183 0 16 0
13.061604 1.207688 6.176521 0 16 0
11.382004 -3.788058 4.246972 33 38 44
31.207861 -1.395616 9.473435 171 176 175
6.117416 0.361095 0.147737 0 1 0
4.478262 0.178058 0.783933 195 193 191
1.372412 -1.874074 4.734111 243 248 254
-0.250142 0.457084 4.125166 66 66 66
13.326764 -2.564417 6.962406 164 172 177
1.898456 -1.817916 5.334975 166 162 156
1.912786 -1.840350 5.342370 13 15 15
1.912786 -1.840350 5.342370 13 15 15
10.730525 -3.737948 4.298634 31 36 42
1.998392 0.847533 5.542432 148 152 154
11.019640 -1.245346 4.858902 11 18 30
-2.160036 -3.178305 5.039173 0 0 0
10.889545 0.473956 5.984141 16 21 0
4.748717 -3.032775 4.665861 227 218 189
8.469742 0.416044 5.055112 222 227 207
-83.317413 -41.850754 70.832176 19 9 10
-0.417537 0.337822 4.851808 3 8 16
6.208250 -1.693795 4.324298 201 203 200
4.010634 1.396976 1.272949 85 74 67
-3.115416 -2.744481 5.552873 11 11 19
-2.271168 -3.009716 5.038892 31 29 30
1.857226 0.659187 3.585601 61 51 55
9.965351 -4.417344 4.794715 170 145 88
9.965351 -4.417344 4.794715 170 145 88
3.921354 -1.601363 3.938265 2 10 17
11.165647 0.453868 5.997608 241 244 220
-0.344885 0.543211 5.125638 6 11 21
11.051062 0.482804 5.373967 8 15 0
10.559283 -1.411091 3.733519 193 194 197
10.970678 -0.536531 3.892198 0 0 0
12.908455 -2.257639 6.091070 145 155 159
-0.808465 -1.768079 6.588792 147 148 140
13.461127 1.137568 6.178227 157 184 166
11.004713 -2.414410 5.009588 147 155 160
10.935413 -2.682131 4.999155 138 144 145
-0.364787 0.422306 5.179237 4 9 15
11.286625 0.536286 5.999364 43 48 26
10.529980 -1.538043 5.031600 150 161 162
-2.240463 0.253055 4.916168 182 192 196
8.843456 0.381252 5.481332 219 212 194
6.502468 -2.694862 4.867763 187 209 211
6.739763 -2.834492 4.874360 222 234 240
6.715425 -2.849872 4.866536 8 23 30
4.402041 0.349983 4.238005 3 1 13
11.516860 0.501792 6.634625 38 41 19
-0.376310 0.495093 5.185102 185 190 200
-1.605057 -2.047351 4.406867 17 8 4
-2.163570 -3.650749 5.502498 11 1 0
-0.098833 0.452495 4.989708 19 8 5
-2.544730 -2.710497 5.090896 217 226 226
8.837485 0.393216 5.454074 180 176 159
6.763256 -2.747904 4.778751 186 206 209
6.763256 -2.747904 4.778751 186 206 209
-3.886826 1.310793 7.204020 156 110 126
-2.357393 -2.496327 5.066916 28 31 38
4.711047 -3.136811 4.673496 104 73 34
0.293385 0.395848 5.361753 0 4 16
2.487914 -1.538610 3.459372 13 25 33
2.243435 -1.269820 3.309795 7 18 31
2.496859 -1.993173 5.222977 36 44 51
2.994048 -2.612118 4.342880 253 237 222
3.175384 5.041875 3.811126 59 59 59
2.060793 -2.627499 4.833272 43 54 67
13.953330 0.626701 7.714044 14 24 0
14.443629 0.601595 7.255246 221 229 208
-2.345614 -2.693422 5.074440 21 21 31
10.022459 1.337059 -1.132090 0 3 9
10.458085 1.056983 -1.052817 200 202 202
12.444736 0.396922 6.053157 240 229 214
11.005175 0.966644 -0.838818 30 33 42
36.227978 2.677780 7.516262 193 205 196
7.909417 -0.082184 2.133479 0 0 0
9.855558 1.232209 -1.188306 0 0 0
10.425765 0.995862 -1.055200 14 12 8
10.514312 0.954036 -1.025537 166 166 166
15.044779 -0.463291 0.576402 27 35 44
9.867988 1.061692 -1.203132 49 46 50
10.009195 1.162054 -1.150192 34 34 34
13.313635 -2.768235 2.408441 54 50 61
11.163678 -3.206808 2.955743 163 171 176
14.724807 -0.199704 0.555092 30 39 50
10.052906 1.153090 -1.143602 24 24 24
13.210120 -2.755202 2.333712 38 38 46
12.004883 -2.253664 4.600898 152 162 166
14.724807 -0.199704 0.555092 30 39 50
9.158487 3.500865 0.026909 29 34 42
10.377196 1.219363 -1.064808 0 11 17
13.033927 0.867142 -0.249623 174 170 162
9.995628 1.174993 -1.160830 12 10 11
14.247281 0.225267 0.227361 0 10 16
10.111066 1.204660 -1.128711 203 207 209
10.532155 1.012730 -1.027816 203 207 209
10.063235 1.074191 -1.154865 201 201 201
10.387288 1.219927 -1.062029 144 152 161
13.819534 -2.517057 2.157767 28 33 41
55.181221 4.581709 10.559921 139 151 133
12.719799 -0.167167 -0.104127 221 231 223
9.309357 3.626368 0.090995 27 33 36
15.485714 -0.476637 0.710217 74 84 90
9.807286 1.252186 -1.197973 11 10 13
25.309767 3.004057 2.871661 8 10 10
10.539116 4.276557 0.163141 56 60 73
14.664484 0.126510 0.301877 61 71 79
-2.692741 -6.362329 13.918977 180 180 166
13.670486 0.036389 -0.035244 13 11 19
9.114337 1.532238 -1.350544 217 215 211
12.785406 -0.214928 -0.065153 242 253 240
9.677659 1.162557 -1.244888 201 201 201
10.525620 0.745790 -0.994028 20 15 17
49.634079 3.843755 13.744191 136 136 133
49.634079 3.843755 13.744191 136 136 133
10.525620 0.745790 -0.994028 20 15 17
12.821748 -0.227019 -0.048046 17 28 17
8.564271 -1.632794 2.120350 0 0 0
13.855655 4.140049 3.138994 6 4 14
13.855655 4.140049 3.138994 6 4 14
11.021911 1.016310 -0.894093 4 19 26
12.820065 -0.239921 -0.044168 228 241 229
12.820065 -0.239921 -0.044168 228 241 229
12.451963 -1.900893 0.841863 73 65 52
11.935549 -1.472916 5.187551 19 24 30
12.439090 -1.894725 0.827249 255 244 219
13.519614 -2.682702 2.329079 30 30 40
9.831568 1.079372 -1.208018 16 13 17
-7.265402 -8.727106 19.308823 18 21 13
11.100533 0.825600 -0.815421 0 4 8
12.629928 0.534875 6.058736 233 234 213
11.151447 0.790172 -0.820805 36 42 43
-0.298380 -6.496165 9.931285 38 25 18
-0.298380 -6.496165 9.931285 38 25 18
20.233009 0.672499 7.566212 212 219 217
11.911044 0.601155 6.003644 18 29 0
20.292761 1.154914 7.668332 1 0 13
9.536568 1.359035 -1.261145 198 200 195
8.745224 1.646776 -1.419734 6 5 10
12.439622 -1.656959 4.935002 191 206 213
17.176573 -2.368193 3.801753 148 160 166
55.308422 2.854508 13.848071 217 224 217
8.736167 2.152682 0.621181 22 25 36
55.308422 2.854508 13.848071 217 224 217
-1.771079 -7.024200 11.639769 5 15 33
-1.771079 -7.024200 11.639769 5 15 33
41.633007 3.749961 8.897704 168 181 165
37.143940 3.129519 7.467318 194 196 193
37.143940 3.129519 7.467318 194 196 193
10.498759 1.034923 -1.039207 17 17 17
8.412649 1.817861 -1.088265 38 48 56
8.412649 1.817861 -1.088265 38 48 56
14.148096 -2.208780 1.850650 24 34 42
11.427958 -3.091893 2.772949 36 35 40
16.163395 -2.374377 3.107951 24 38 48
20.246441 1.075162 7.634256 11 4 18
11.569598 -1.981340 4.773182 167 173 176
10.726247 0.896562 -0.959094 205 200 197
11.828754 1.230605 -0.717139 140 148 155
12.058400 0.844459 -0.577102 2 12 20
11.828754 1.230605 -0.717139 140 148 155
15.025990 -2.313604 2.389868 17 27 35
11.360604 0.799228 -0.780184 37 35 43
4.466961 -4.022740 6.038342 75 31 0
-51.809223 -34.192959 73.291786 174 165 157
-51.809223 -34.192959 73.291786 174 165 157
11.369282 0.796691 -0.777945 37 35 43
13.325619 0.151349 -0.024630 11 19 26
10.351313 0.851539 -1.059934 194 194 191
8.343155 -0.053496 5.917022 134 138 123
15.582373 -0.497988 0.986180 12 24 32
15.018604 -0.469132 0.784664 3 11 20
36.441082 3.135157 7.147644 211 216 210
36.441082 3.135157 7.147644 211 216 210
13.014038 0.381033 -0.197002 42 47 55
12.704604 0.383433 -0.288101 54 54 54
11.563460 0.485126 5.985454 221 224 202
11.563460 0.485126 5.985454 221 224 202
10.218612 0.888004 -1.102511 185 187 187
10.218612 0.888004 -1.102511 185 187 187
10.439568 0.866157 -1.036715 55 57 57
12.150326 1.055732 -0.598345 0 3 9
-3.875236 -8.852095 13.363255 252 248 240
11.419939 0.158410 -0.401083 19 36 42
8.654359 1.746853 -1.278720 144 107 125
10.684178 0.901187 -0.971428 48 47 50
37.998783 3.384587 7.598145 200 205 199
37.998783 3.384587 7.598145 200 205 199
13.388465 -2.262189 1.284526 15 29 39
10.152508 0.989783 -1.131587 58 58 58
13.131907 -0.375971 0.112818 28 41 56
12.337901 1.665304 -0.564302 171 176 182
13.194417 -1.971532 1.179837 25 35 43
13.194417 -1.971532 1.179837 25 35 43
8.713991 0.421464 6.230330 5 3 0
11.256273 -2.190578 4.611624 151 159 166
-8.020068 -11.003540 18.039490 3 16 35
8.793026 0.426066 6.199440 12 13 0
12.275669 0.690567 -0.337864 0 6 15
10.744253 0.652550 -0.954795 194 194 191
18.108557 2.622981 0.721322 186 190 192
12.580242 0.419461 -0.336150 30 33 40
10.704450 0.912248 -0.967255 27 22 21
9.426622 1.287796 -1.300076 9 4 6
10.708027 0.934395 -0.979284 16 17 20
12.115222 -0.498105 -0.157403 93 94 97
12.115222 -0.498105 -0.157403 93 94 97
9.218102 -2.741112 2.899079 22 31 33
9.608558 2.241268 -0.991536 1 0 7
13.183388 -2.548234 1.898241 180 186 187
9.608558 2.241268 -0.991536 1 0 7
13.183388 -2.548234 1.898241 180 186 187
10.728854 -3.133159 3.507671 153 164 175
10.164658 0.916942 -1.121432 187 189 184
10.164658 0.916942 -1.121432 187 189 184
10.125226 0.976032 -0.135491 0 2 0
10.478789 0.972763 -1.037823 0 0 0
10.433767 0.879552 -1.039405 10 12 12
10.679893 0.914886 -0.974144 196 194 192
8.935333 1.663532 -1.263625 169 171 171
10.804953 -2.875274 4.010959 192 202 194
12.111470 -0.128619 -0.195122 7 17 33
10.598935 -3.200632 3.623683 160 179 187
13.454767 0.123007 0.024800 80 88 95
13.265421 -2.540889 1.934168 0 0 0
56.339462 4.486986 12.110576 153 159 148
9.523045 1.311338 -1.279418 16 14 15
10.307127 0.865768 -1.074086 22 22 22
10.316244 0.868997 -1.071977 199 199 199
12.064081 0.805466 -0.567383 32 51 59
13.767790 2.627635 3.093277 0 4 7
26.390856 3.116300 3.192809 177 182 176
9.005642 1.571452 -1.375113 170 169 172
28.950159 3.096932 4.895837 175 183 173
12.941957 0.611939 6.093044 24 27 3
10.492470 1.023304 -1.039774 190 190 176
10.089058 -1.044117 4.383374 4 10 11
10.244165 -1.926846 4.484471 157 167 173
10.244165 -1.926846 4.484471 157 167 173
10.758467 -2.611588 4.337443 140 150 144
10.630983 0.948143 -0.992339 190 189 180
10.492470 1.023304 -1.039774 190 190 176
10.836605 -2.177333 4.672081 132 144 150
13.381782 1.176131 6.139770 168 197 169
10.630983 0.948143 -0.992339 190 189 180
12.279696 0.527581 -0.453371 23 23 31
12.279696 0.527581 -0.453371 23 23 31
20.167738 2.824639 1.270318 147 155 145
13.859589 0.099430 0.158368 2 11 22
9.626538 3.865758 0.192631 20 28 37
13.332651 1.161844 6.136986 0 4 0
13.332651 1.161844 6.136986 0 4 0
10.622324 -2.789173 4.146481 146 158 154
12.325060 0.529991 -0.441546 186 172 158
24.648228 2.800525 2.739600 0 8 0
25.089943 -0.527811 5.519495 190 193 183
10.306249 -1.869817 4.780798 139 151 155
44.474312 3.638147 10.553466 145 151 142
8.638251 2.923497 -0.336942 45 43 39
10.538386 0.994874 -1.014655 211 211 211
10.538386 0.994874 -1.014655 211 211 211
11.540444 -3.157820 2.888147 42 46 48
12.528487 0.552748 -0.389609 14 8 1
10.468987 0.982381 -1.032394 202 200 198
12.528487 0.552748 -0.389609 14 8 1
13.718837 0.009905 0.149735 7 16 29
25.417074 2.911865 2.951357 7 9 6
11.126993 1.332537 -0.843158 170 187 193
8.911522 3.264107 -0.110633 15 20 28
-55.351734 -38.271976 71.214355 29 36 48
-9.943513 -10.975067 21.033421 18 25 37
13.126905 0.316133 -0.016540 58 68 74
38.087036 2.521015 8.575272 0 2 0
13.055097 0.610499 6.103882 0 0 0
15.103275 0.117136 0.431041 50 65 68
14.167055 0.363376 0.231982 63 73 79
8.524000 1.686871 -1.384669 151 135 148
10.420389 0.994016 -1.055752 181 179 177
11.140855 -3.208899 2.941204 15 19 23
11.140855 -3.208899 2.941204 15 19 23
11.699944 0.780930 4.274142 36 55 19
1.214389 0.505142 10.642067 187 189 186
15.498455 -5.050010 4.638057 232 216 201
26.025713 3.801319 17.464293 74 65 34
7.332290 2.625298 -0.404313 71 55 53
1.845167 -3.426966 8.389860 135 136 124
11.719599 -3.567707 4.485507 181 200 210
8.018141 -1.965066 3.471922 15 25 33
8.018141 -1.965066 3.471922 15 25 33
12.040121 0.523473 5.987209 1 11 0
10.479871 0.160512 1.863314 58 51 33
12.395441 -1.508317 4.923190 194 211 215
2.671964 -1.507701 8.737957 176 176 173
16.441532 -5.333135 4.683650 176 175 192
18.393002 -5.821366 4.564388 28 39 50
16.979986 -5.047340 3.888950 59 66 78
10.871926 -4.015896 4.191540 16 16 24
4.579913 -2.006477 6.600305 175 181 172
12.878448 0.945881 6.098133 127 142 126
12.878448 0.945881 6.098133 127 142 126
11.069016 0.419823 5.929307 229 234 214
17.549408 -2.252899 11.576962 137 142 148
4.280472 -2.856902 6.164614 16 24 33
10.176021 -2.991957 4.470510 211 227 225
-2.160437 0.332620 12.293747 201 195 188
-28.725817 -17.817162 40.677265 206 217 206
-29.369457 -18.026958 41.415344 0 3 0
8.009984 2.692476 0.275240 121 118 103
12.446931 -1.574646 4.958776 136 153 159
12.690282 1.258457 6.070441 143 168 139
9.092808 -1.423058 4.943852 128 148 151
4.783788 -3.587828 5.897277 27 34 32
5.505749 -2.725733 5.177782 85 48 4
12.909169 1.037874 6.093640 122 135 123
-4.301711 -0.524816 14.827598 151 167 167
20.036684 0.265306 3.636972 7 8 11
6.384951 -3.843753 4.891877 234 217 193
12.404219 0.416155 6.048676 34 32 14
41.716553 13.023403 8.647647 50 43 46
6.225000 -3.756902 4.918113 255 244 217
2.244950 -0.099638 8.542266 112 113 116
12.621387 0.565033 6.057667 234 242 217
-0.146560 2.115393 11.220339 173 153 165
2.630199 -3.245343 6.089689 22 36 48
8.987336 0.537209 5.100817 7 15 0
8.970214 2.213932 6.447256 66 36 0
9.999735 -1.472620 4.982336 143 152 154
6.302946 -3.824930 4.901457 247 217 200
6.400324 -3.657514 4.828519 228 213 193
6.266433 -3.686889 4.835853 255 244 231
3.726262 0.760277 7.543388 221 221 216
50.384800 -6.040359 27.781815 0 0 0
9.401252 -2.561368 4.925515 205 216 215
-3.647520 -0.892466 13.380884 202 203 206
10.690395 -2.151358 5.196535 145 150 156
34.588127 -13.131667 21.059649 218 227 229
12.606335 1.404049 5.837613 155 181 156
9.164745 5.101034 0.152884 29 32 43
6.998152 -1.972134 3.270372 212 200 190
12.660913 1.239341 5.828753 142 153 140
9.107762 -1.763934 5.626924 133 139 140
6.982060 -2.004392 3.229052 248 218 192
6.977020 -2.024652 3.215050 97 57 21
8.511322 3.684777 1.754262 2 0 4
6.959120 -1.938143 3.238645 50 19 0
13.914013 -10.384417 7.659341 9 13 17
6.143032 1.670128 3.160789 208 205 211
8.690981 0.524322 5.826566 26 27 8
7.053851 -2.031992 3.314341 226 215 200
11.130210 0.392336 6.062198 56 49 29
6.173819 0.081885 2.836617 153 153 137
6.173819 0.081885 2.836617 153 153 137
6.886487 -1.872827 3.163641 255 221 186
6.886487 -1.872827 3.163641 255 221 186
7.572065 3.002472 2.083504 10 0 10
7.049335 -1.440221 3.564037 184 196 204
6.194646 -0.104725 3.025337 10 20 26
12.691133 1.424407 5.787719 167 192 176
40.547440 -19.318207 17.567993 129 140 139
56.687946 -56.692894 28.617140 141 81 38
10.908001 0.462770 6.027013 36 39 15
10.908001 0.462770 6.027013 36 39 15
12.417108 0.376840 6.046240 21 10 0
9.644704 -3.768706 5.485064 17 34 29
8.624248 0.703734 5.101605 236 226 214
9.444242 -1.362879 1.083846 47 47 47
6.611986 -1.023499 3.186216 88 48 12
12.753085 0.652202 5.907881 230 234 207
8.746249 0.608721 10.816720 64 49 11
13.474543 -7.389323 7.304192 140 156 156
12.304695 1.986908 1.586258 201 195 190
10.411250 2.620347 -0.388970 15 14 19
12.322854 -8.196834 6.291725 4 5 10
6.538070 -0.816592 3.166827 238 203 165
12.852691 1.414437 5.681392 163 184 163
12.852691 1.414437 5.681392 163 184 163
10.598142 2.580076 -0.220572 7 8 13
6.498241 -0.429561 3.206639 0 0 0
9.007802 -4.432190 4.570863 0 0 2
12.580657 1.385969 5.928963 155 176 155
13.005763 1.526150 5.489239 168 179 164
13.005763 1.526150 5.489239 168 179 164
6.287861 1.642730 3.245262 193 194 182
12.045859 -6.988086 6.453999 192 216 220
12.949511 1.288826 5.574901 141 173 140
12.037545 0.480234 6.119672 238 235 211
8.404857 0.759177 1.497918 3 2 7
8.404857 0.759177 1.497918 3 2 7
6.417709 -0.993940 2.935095 236 206 178
9.356879 -1.821323 1.639439 0 2 9
6.837456 2.489581 2.121242 21 0 12
8.463106 0.344955 -1.170092 36 44 53
8.463106 0.344955 -1.170092 36 44 53
12.254577 0.472551 5.910577 42 44 18
7.257123 -1.996292 3.773531 222 237 240
7.387147 -2.218447 4.046782 183 190 188
11.375140 0.425838 5.789394 43 47 18
8.948856 -10.652045 18.271940 189 205 214
13.205786 1.270544 6.475339 0 24 5
7.535694 2.201731 -0.178332 194 180 193
11.714262 0.503345 5.963629 31 33 16
11.714262 0.503345 5.963629 31 33 16
10.869442 0.483540 5.949408 33 31 9
8.660304 0.130284 -0.957720 22 22 30
8.784934 1.047007 1.531053 243 237 214
8.388329 0.268582 -1.138496 14 13 6
8.384962 2.679388 -1.023007 21 31 39
11.975680 0.435921 6.114034 43 47 18
7.100605 2.126778 -1.101629 181 189 179
8.390015 0.232286 -1.111630 4 4 14
8.739075 1.088045 1.363603 225 221 200
7.078681 -1.656935 3.414839 15 35 40
9.720837 -0.952875 1.214112 130 144 140
8.369527 -2.504251 4.094460 199 213 223
9.143377 0.501796 5.485199 244 236 223
8.509456 -1.988535 4.294882 239 255 253
9.952934 0.788543 3.678439 52 55 31
13.111635 1.046860 6.255803 130 144 135
7.866834 -4.268944 7.642862 232 246 237
7.928491 -7.132960 9.858370 36 28 17
7.915244 -6.383875 8.690387 199 183 152
10.008992 -2.664726 2.423593 121 92 31
9.485978 0.430467 6.510365 232 242 218
10.008992 -2.664726 2.423593 121 92 31
7.917738 -6.777065 9.179008 245 238 218
7.830610 -5.021723 8.922659 5 17 25
13.184327 -4.069165 3.142460 163 173 167
7.587180 -3.145151 5.848480 165 182 188
15.185153 -11.825086 14.992444 7 9 6
18.345470 15.026858 12.484044 109 107 103
7.357193 -4.013452 5.670440 212 201 184
7.547483 -2.872458 5.460883 29 41 45
13.093677 0.597808 6.128051 236 241 217
10.849585 0.454657 5.981614 231 228 215
7.852796 1.894705 4.160751 171 171 168
7.219747 -3.797673 5.502326 55 39 26
7.325319 -3.819235 5.412842 215 203 193
12.649464 0.531223 6.070335 220 230 204
8.613930 0.406528 5.344686 180 176 159
7.619971 1.430599 4.702594 52 45 18
7.373344 -2.701584 5.371035 195 218 225
7.373344 -2.701584 5.371035 195 218 225
15.296253 3.795320 -8.951103 217 226 226
12.732707 0.465381 -9.064659 195 203 210
9.087584 0.196162 7.381642 243 246 222
12.667969 1.469423 -8.959766 57 81 83
8.288304 -2.830914 3.404423 232 254 255
8.288304 -2.830914 3.404423 232 254 255
19.090996 6.051322 -9.846789 11 0 14
15.150903 0.041399 -8.944311 195 195 203
12.626901 -4.140744 3.693339 167 174 172
8.358958 -2.396337 3.601292 222 230 235
13.508638 1.810604 -9.150835 43 43 40
14.924132 -0.837717 -8.932722 17 18 23
12.557021 -3.175823 3.921953 0 4 15
13.470686 1.701648 -9.153709 33 30 36
14.935510 2.057125 -9.057509 61 58 62
16.584322 3.129192 -8.442145 127 132 131
13.758847 2.441571 -9.116951 159 154 156
14.062501 -0.254512 -9.629075 3 13 17
15.823147 0.863153 -8.759416 11 10 15
30.061026 6.989757 -8.250319 101 91 92
30.061026 6.989757 -8.250319 101 91 92
14.768388 -1.275150 -8.924266 47 52 58
14.743790 -1.316891 -8.923785 0 0 1
13.734026 2.346183 -9.199902 32 33 38
11.877393 1.757051 -8.676723 1 31 40
14.759090 -1.340236 -8.919802 227 232 238
16.750866 3.259032 -8.370943 114 117 124
12.791755 0.437738 -9.131845 180 188 197
14.753963 -1.355154 -8.913374 1 6 12
14.815767 -1.297888 -8.912212 22 23 28
14.815767 -1.297888 -8.912212 22 23 28
14.803131 -1.340755 -8.911538 197 202 208
14.774447 -1.387086 -8.911830 213 218 224
14.375186 -0.421388 -9.765112 0 3 15
14.375186 -0.421388 -9.765112 0 3 15
14.835388 -1.291271 -8.907185 205 208 217
16.793123 3.253534 -8.351085 124 127 136
