# 3D points
# X Y Z R G B
2.225664 -1.626309 4.902114 16 24 29
10.862550 0.457593 5.965565 29 33 16
11.751181 0.543806 5.965501 222 225 205
-6.890961 -2.151615 5.105560 199 194 191
2.368624 -2.494921 4.372628 78 72 65
-5.765226 -5.979152 5.004323 1 0 0
-7.174424 -2.111039 5.106547 10 4 0
-7.969012 -3.623145 5.003276 28 26 27
9.663395 0.426688 5.922117 232 232 216
5.300000 -3.098979 4.200329 101 55 18
5.644566 -3.073121 4.185997 229 218 199
5.112459 -2.973357 4.194118 236 216 198
12.471281 0.455190 6.045373 233 230 215
12.471281 0.455190 6.045373 233 230 215
-5.804284 -5.946744 4.992528 24 20 29
2.100387 -2.570846 4.347416 255 246 233
-9.496412 -5.697279 5.123754 23 17 24
10.905266 0.438197 5.966376 226 226 210
-6.889303 -2.182671 5.126098 171 164 162
10.905266 0.438197 5.966376 226 226 210
-6.349154 -2.183544 5.120141 35 28 26
-8.172253 -4.548323 5.032793 47 41 48
4.187536 -2.469564 4.088834 109 66 19
5.778630 -3.023490 4.194314 230 211 197
5.778630 -3.023490 4.194314 230 211 197
-5.930032 -5.992642 4.985975 16 14 15
10.122493 0.482914 5.926648 235 239 222
-9.662148 -5.788569 5.136664 37 33 27
-6.889303 -2.182671 5.126098 171 164 162
4.375443 -2.111758 4.142874 225 196 161
4.375443 -2.111758 4.142874 225 196 161
-9.500432 -4.924818 5.117796 40 37 43
2.468520 -2.620575 4.366661 255 239 226
2.771122 -1.830127 4.908216 162 165 155
-6.632607 -3.158303 5.251817 15 11 1
4.107278 -2.111732 4.069405 74 43 20
10.836382 0.449083 5.973206 231 228 215
-6.670815 -3.247710 5.251782 70 62 51
8.638254 -3.606746 4.203127 155 129 79
8.638254 -3.606746 4.203127 155 129 79
5.304242 -3.053295 4.182849 255 237 224
-4.758140 0.309036 5.136320 12 12 12
-4.800141 -3.151053 5.254687 197 175 180
-4.914020 -3.182806 5.229950 0 0 0
-5.495381 0.669408 5.568470 0 5 17
6.747948 -2.812731 5.034770 231 242 253
-6.385781 10.265268 48.007702 43 48 54
-5.949342 -3.154557 5.264199 200 184 182
-1.578174 -2.292770 3.335926 0 0 0
50.231182 19.592382 83.355865 219 214 211
-6.385375 -4.136818 5.094489 51 43 51
-6.353389 -3.346082 5.055134 12 1 0
-5.156018 -3.131205 5.242399 24 11 8
13.236852 1.182702 6.160457 142 171 143
-11.347154 -2.591937 6.288663 170 171 174
-11.347154 -2.591937 6.288663 170 171 174
13.311553 0.776229 6.146739 172 184 164
13.238016 0.557434 6.089269 21 19 0
-5.183116 -2.870653 5.223360 217 196 192
-3.205588 8.439913 40.841854 49 31 26
-6.032321 -4.745348 8.243637 227 236 238
-5.725252 -1.783708 5.168133 220 209 204
-5.232754 -3.223644 5.245890 237 219 218
-5.190681 -2.970977 5.199211 154 133 129
-11.041079 0.312896 6.082382 207 220 219
-5.245055 -2.527308 5.222771 210 204 199
-5.758350 -2.693234 5.224009 204 193 186
-2.277604 -3.158146 4.839014 0 0 0
13.689198 0.741257 6.120668 227 233 220
20.765200 1.919152 8.799827 44 34 24
